,global,global,global,all_minimizations,all_minimizations,all_minimizations,all_minimizations,only_complete_minimization,only_complete_minimization,only_complete_minimization,only_complete_minimization,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,ascending_heuristic,ascending_heuristic,ascending_heuristic,ascending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,lace_1_thread,lace_1_thread,lace_1_thread,lace_1_thread,lace_7_threads,lace_7_threads,lace_7_threads,lace_7_threads
,size,vars,aux_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars
dataset/random/uf250-1065/uf250-05.dc.min,1112,546,296,1010795,242,1455,249,650904,243,1112,249,1083376.0,1427.0,3395.0,249.0,1116715,537,1473,249,2715515,372,1374,249,359325,242,1455,249,1460256,242,1455,249
dataset/random/uf250-1065/uf250-050.dc.min,3029,1148,898,9126622,823,4354,250,8357833,434,3216,250,222054204.0,82650.0,3032794.0,250.0,34385300,489,4353,250,497243132,870,5215,250,7495730,823,4354,250,12627160,823,4354,250
dataset/random/uf250-1065/uf250-051.dc.min,1132,532,282,1622704,696,1497,249,1172268,311,1132,249,1252685.0,895030.0,895030.0,249.0,4588791,650,1513,249,3714054,377,1484,249,855831,696,1497,249,2040336,696,1497,249
dataset/random/uf250-1065/uf250-052.dc.min,2592,849,599,4176821,602,3658,249,5456944,359,2650,249,159950778.0,12697.0,16303966.0,249.0,11666104,482,3418,249,228850649,496,4225,249,3706221,602,3658,249,5500854,602,3658,249
dataset/random/uf250-1065/uf250-053.dc.min,5777,1918,1668,412594949,1084,8417,250,492247001,646,6196,250,3657885340.0,220035072.0,220035072.0,475.0,175119843,678,8271,250,3600144600,11585,13310,1496,399041862,1084,8417,250,400418403,1084,8417,250
dataset/random/uf250-1065/uf250-054.dc.min,297,287,37,29263,3,297,243,18117,2,297,243,50136.0,2.0,297.0,243.0,26978,2,297,243,31219,2,297,243,9823,3,297,243,58292,3,297,243
dataset/random/uf250-1065/uf250-055.dc.min,24372,5525,5275,3600388173,26506,36504,849,3600222245,18288,26764,778,3621516148.0,171333022.0,171333022.0,1797.0,3600037470,64419,64419,4892,3600028228,76746,76746,5341,3600357544,27416,36504,840,3600346646,22778,36504,867
dataset/random/uf250-1065/uf250-056.dc.min,5195,1459,1209,39703509,1754,7678,250,39652508,1325,5633,250,,,,,298832524,2030,7454,250,2433589059,1756,8112,250,37175407,1754,7678,250,45906806,1754,7678,250
dataset/random/uf250-1065/uf250-057.dc.min,3760,1248,998,23107905,1513,5393,250,22053485,641,3988,250,,,,,44755278,899,5415,250,693371543,823,5280,250,17875139,1513,5393,250,24151136,1513,5393,250
dataset/random/uf250-1065/uf250-058.dc.min,3977,1133,883,23031847,1214,5788,249,22136203,651,4286,249,4345461282.0,639039525.0,745233672.0,282.0,167019283,721,5364,249,3255996026,1042,10506,249,19065533,1214,5788,249,23042402,1214,5788,249
dataset/random/uf250-1065/uf250-059.dc.min,3994,1402,1152,26851307,1391,5763,250,28257288,437,4254,250,3838855030.0,224615408.0,224615408.0,329.0,31401474,825,5806,250,1650876054,796,6160,250,24854759,1391,5763,250,30159092,1391,5763,250
dataset/random/uf250-1065/uf250-060.dc.min,5877,1917,1667,929471887,595,8937,249,288728912,349,6239,249,3667809465.0,264647578.0,277019884.0,547.0,147577960,275,7577,249,3600016379,41955,41955,1720,933357685,595,8937,249,928341997,595,8937,249
dataset/random/uf250-1065/uf250-062.dc.min,893,487,237,520896,60,893,247,512634,92,893,247,513747.0,465.0,3276.0,247.0,597285,317,998,247,1202993,102,992,247,175979,60,893,247,690557,60,893,247
dataset/random/uf250-1065/uf250-063.dc.min,17372,4903,4653,3600216486,16499,25879,874,3600186327,14598,18971,815,3664998110.0,282716955.0,282716955.0,1851.0,3600022500,39953,39953,4210,3600081972,141055,141055,4776,3600294126,21677,25879,864,3600257362,16759,25879,874
dataset/random/uf250-1065/uf250-065.dc.min,3606,1214,964,22529840,706,5244,250,15687697,754,3859,250,,,,,110034286,917,5191,250,702431443,751,6063,250,17739596,706,5244,250,22850606,706,5244,250
dataset/random/uf250-1065/uf250-067.dc.min,1566,713,463,1901178,143,2041,246,954851,138,1566,246,3829359.0,1121.0,48656.0,246.0,2040501,169,1998,246,12411878,149,1952,246,804049,143,2041,246,2457054,143,2041,246
dataset/random/uf250-1065/uf250-069.dc.min,15312,3908,3658,3600352873,22159,25006,473,3600646348,23929,23929,467,3610449440.0,439735483.0,439735483.0,1247.0,3600012843,20873,22150,2962,3600036195,60435,60435,3628,3600295620,23604,25006,473,3600377699,23172,25006,473
dataset/random/uf250-1065/uf250-07.dc.min,683,427,177,162993,38,683,246,166131,56,683,246,317767.0,117.0,711.0,246.0,174867,105,683,246,337081,82,683,246,104637,38,683,246,720203,38,683,246
dataset/random/uf250-1065/uf250-070.dc.min,5691,1753,1503,180632117,775,8322,249,466190903,539,6106,249,3650758023.0,468204507.0,468204507.0,421.0,134227533,1959,8039,249,3600021024,46355,46355,1137,175551824,775,8322,249,183450289,775,8322,249
dataset/random/uf250-1065/uf250-071.dc.min,376,327,77,54087,10,376,245,64642,10,376,245,37525.0,10.0,376.0,245.0,82356,10,376,245,48033,10,376,245,36861,10,376,245,53595,10,376,245
dataset/random/uf250-1065/uf250-072.dc.min,624,412,162,229135,29,624,246,222231,27,624,246,223913.0,27.0,624.0,246.0,200722,27,624,246,318646,32,624,246,112011,29,624,246,259788,29,624,246
dataset/random/uf250-1065/uf250-075.dc.min,10170,2534,2284,1602865774,4165,15180,250,3353044392,4307,11134,250,3705772894.0,114142120.0,114142120.0,533.0,3600008614,22834,22834,1837,3600039344,197597,197597,2231,1602406110,4165,15180,250,1588356968,4165,15180,250
